Date : 2024-06-22 20:07:12
Directory : c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1
Total : 167 files,  16704 codes, 256 comments, 415 blanks, all 17375 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\georeferenciacion-mapa\loading-map.component.ts                             | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\lista-comerciantes\lista-comerciantes.component.css                         | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\lista-comerciantes\lista-comerciantes.component.html                        | HTML               |        114 |          3 |          0 |        117 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\lista-comerciantes\lista-comerciantes.component.ts                          | TypeScript         |         42 |         19 |         12 |         73 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\lista-comerciantes\lista-comerciantes.service.ts                            | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\lista-productos\lista-productos.component.css                               | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\lista-productos\lista-productos.component.html                              | HTML               |         97 |          9 |          2 |        108 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\lista-productos\lista-productos.component.ts                                | TypeScript         |         78 |         22 |         13 |        113 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\lista-productos\lista-productos.service.ts                                  | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\perfil\comerciante\comerciante.component.css                                | CSS                |          8 |          0 |          1 |          9 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\app\dashboard\screens\perfil\comerciante\comerciante.component.html                               | HTML               |        126 |         20 |          3 |        149 |
